lower_prev c1dfffffa4bfffff
lower_exact c1dfffffa4c00000
lower_next c1dfffffa4c00001
upper_prev 41dfffffa47fffff
upper_exact 41dfffffa4800000
upper_next 41dfffffa4800001
intmin_prev c1dfffffffffffff
intmin_exact c1e0000000000000
intmin_next c1e0000000000001
intmaxplus_prev 41dfffffffffffff
intmaxplus_exact 41e0000000000000
intmaxplus_next 41e0000000000001
pluszero 0000000000000000
minuszero 8000000000000000
negminsub 8000000000000001
posminsub 0000000000000001
negfraction bfe0000000000000
positivefraction 3fe0000000000000
