y,inverse
1,1
2,9217
3,12289
4,13825
5,11060
6,15361
7,7900
8,16129
9,16385
10,5530
11,6703
12,16897
13,1418
14,3950
15,9831
16,17281
17,10843
18,17409
19,5821
20,2765
21,14922
22,12568
23,12823
24,17665
25,2212
26,709
27,11606
28,1975
29,5085
30,14132
31,7730
32,17857
33,14523
34,14638
35,1580
36,17921
37,10462
38,12127
39,6617
40,10599
41,13038
42,7461
43,17147
44,6284
45,3277
46,15628
47,10197
48,18049
49,14295
50,1106
51,15903
52,9571
53,10086
54,5803
55,16087
56,10204
57,14229
58,11759
59,10310
60,7066
61,3324
62,3865
63,4974
64,18145
65,15030
66,16478
67,6878
68,7319
69,16563
70,790
71,12981
72,18177
73,17928
74,5231
75,13026
76,15280
77,14124
78,12525
79,700
80,14516
81,10013
82,6519
83,15768
84,12947
85,16915
86,17790
87,1695
88,3142
89,16569
90,10855
91,13369
92,7814
93,8721
94,14315
95,12224
96,18241
97,6081
98,16364
99,4841
100,553
101,18068
102,17168
103,4653
104,14002
105,6671
106,5043
107,10164
108,12118
109,1522
110,17260
111,15776
112,5102
113,1305
114,16331
115,17311
116,15096
117,8350
118,5155
119,1549
120,3533
121,8988
122,1662
123,4346
124,11149
125,4129
126,2487
127,1016
128,18289
129,11860
130,7515
131,14071
132,8239
133,13998
134,3439
135,13381
136,12876
137,5651
138,17498
139,16046
140,395
141,3399
142,15707
143,11859
144,18305
145,1017
146,8964
147,4765
148,11832
149,6433
150,6513
151,11719
152,7640
153,5301
154,7062
155,1546
156,15479
157,15263
158,350
159,3362
160,7258
161,12365
162,14223
163,14475
164,12476
165,17651
166,7884
167,5850
168,15690
169,1527
170,17674
171,4743
172,8895
173,12999
174,10064
175,316
176,1571
177,9581
178,17501
179,4634
180,14644
181,2546
182,15901
183,1108
184,3907
185,5779
186,13577
187,17743
188,16374
189,1658
190,6112
191,6080
192,18337
193,12225
194,12257
195,5010
196,8182
197,4772
198,11637
199,7225
200,9493
201,8437
202,9034
203,5993
204,8584
205,17354
206,11543
207,5521
208,7001
209,13935
210,12552
211,16249
212,11738
213,4327
214,5082
215,7116
216,6059
217,16904
218,761
219,5976
220,8630
221,2252
222,7888
223,14796
224,2551
225,4342
226,9869
227,6009
228,17382
229,6198
230,17872
231,4708
232,7548
233,17721
234,4175
235,5726
236,11794
237,12522
238,9991
239,17816
240,10983
241,10555
242,4494
243,9482
244,831
245,2859
246,2173
247,14627
248,14791
249,5256
250,11281
251,11897
252,10460
253,17923
254,508
255,17927
256,18361
257,12982
258,5930
259,14661
260,12974
261,565
262,16252
263,5607
264,13336
265,13077
266,6999
267,5523
268,10936
269,8497
270,15907
271,3673
272,6438
273,16745
274,12042
275,6904
276,8749
277,732
278,8023
279,2907
280,9414
281,12398
282,10916
283,4364
284,17070
285,10219
286,15146
287,15029
288,18369
289,4975
290,9725
291,2027
292,4482
293,7801
294,11599
295,2062
296,5916
297,7758
298,12433
299,8076
300,12473
301,15616
302,15076
303,12167
304,3820
305,8038
306,11867
307,7085
308,3531
309,1551
310,773
311,10313
312,16956
313,15724
314,16848
315,8368
316,175
317,16863
318,1681
319,2138
320,3629
321,3388
322,15399
323,2511
324,16328
325,3006
326,16454
327,12796
328,6238
329,4090
330,18042
331,2506
332,3942
333,11403
334,2925
335,16122
336,7845
337,4157
338,9980
339,435
340,8837
341,17460
342,11588
343,9942
344,13664
345,18059
346,15716
347,10093
348,5032
349,3169
350,158
351,15072
352,10002
353,2872
354,14007
355,13656
356,17967
357,12805
358,2317
359,2824
360,7322
361,4187
362,1273
363,2996
364,17167
365,18332
366,554
367,4219
368,11170
369,7593
370,12106
371,11974
372,16005
373,15715
374,18088
375,13665
376,8187
377,3227
378,829
379,9484
380,3056
381,6483
382,3040
383,14294
384,18385
385,10198
386,15329
387,16242
388,15345
389,7250
390,2505
391,18103
392,4091
393,16979
394,2386
395,140
396,15035
397,3018
398,12829
399,4666
400,13963
401,9929
402,13435
403,11938
404,4517
405,16749
406,12213
407,7654
408,4292
409,3290
410,8677
411,8028
412,14988
413,12006
414,11977
415,17900
416,12717
417,11493
418,16184
419,6159
420,6276
421,16813
422,17341
423,1133
424,5869
425,3383
426,11380
427,11008
428,2541
429,3953
430,3558
431,5346
432,12246
433,12388
434,8452
435,339
436,9597
437,7466
438,2988
439,3695
440,4315
441,13877
442,1126
443,11401
444,3944
445,10687
446,7398
447,14433
448,10492
449,13055
450,2171
451,2861
452,14151
453,16195
454,12221
455,10047
456,8691
457,9156
458,3099
459,1767
460,8936
461,2639
462,2354
463,12501
464,3774
465,12804
466,18077
467,13657
468,11304
469,14149
470,2863
471,11232
472,5897
473,6586
474,6261
475,9818
476,14212
477,7265
478,8908
479,5426
480,14708
481,14984
482,14494
483,10266
484,2247
485,12276
486,4741
487,17676
488,9632
489,4825
490,10646
491,17532
492,10303
493,3552
494,16530
495,12028
496,16612
497,7121
498,2628
499,6760
500,14857
501,1950
502,15165
503,2382
504,5230
505,18360
506,18178
507,509
508,254
509,507
510,18180
511,10461
512,18397
513,1581
514,6491
515,15677
516,2965
517,927
518,16547
519,4333
520,6487
521,16664
522,9499
523,5040
524,8126
525,12394
526,12020
527,1539
528,6668
529,6969
530,15755
531,9338
532,12716
