x,y,add,sub,half,mont,square,div,z,zq0_word,k,w,total,shift,d_word,trace_result
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294948863,0
0,1,1,18432,0,0,0,0,0,0,0,0,0,0,4294948863,0
0,2,2,18431,0,0,0,0,0,0,0,0,0,0,4294948863,0
0,3,3,18430,0,0,0,0,0,0,0,0,0,0,4294948863,0
0,4,4,18429,0,0,0,0,0,0,0,0,0,0,4294948863,0
0,4095,4095,14338,0,0,0,0,0,0,0,0,0,0,4294948863,0
0,4096,4096,14337,0,0,0,0,0,0,0,0,0,0,4294948863,0
0,8191,8191,10242,0,0,0,0,0,0,0,0,0,0,4294948863,0
0,8192,8192,10241,0,0,0,0,0,0,0,0,0,0,4294948863,0
0,10237,10237,8196,0,0,0,0,0,0,0,0,0,0,4294948863,0
0,18428,18428,5,0,0,0,0,0,0,0,0,0,0,4294948863,0
0,18429,18429,4,0,0,0,0,0,0,0,0,0,0,4294948863,0
0,18430,18430,3,0,0,0,0,0,0,0,0,0,0,4294948863,0
0,18431,18431,2,0,0,0,0,0,0,0,0,0,0,4294948863,0
0,18432,18432,1,0,0,0,0,0,0,0,0,0,0,4294948863,0
1,0,1,1,9217,0,5184,0,0,0,0,0,0,0,4294948863,0
1,1,2,0,9217,5184,5184,1,1,18431,18431,339738623,339738624,5184,4294954047,5184
1,2,3,18432,9217,10368,5184,9217,2,36862,36862,679477246,679477248,10368,4294959231,10368
1,3,4,18431,9217,15552,5184,12289,3,55293,55293,1019215869,1019215872,15552,4294964415,15552
1,4,5,18430,9217,2303,5184,13825,4,73724,8188,150929404,150929408,2303,4294951166,2303
1,4095,4096,14339,9217,12097,5184,13405,4095,75474945,43009,792784897,792788992,12097,4294960960,12097
1,4096,4097,14338,9217,17281,5184,9212,4096,75493376,61440,1132523520,1132527616,17281,4294966144,17281
1,8191,8192,10243,9217,10945,5184,5671,8191,150968321,38913,717283329,717291520,10945,4294959808,10945
1,8192,8193,10242,9217,16129,5184,4606,8192,150986752,57344,1057021952,1057030144,16129,4294964992,16129
1,10237,10238,8197,9217,1,5184,5184,10237,188678147,3,55299,65536,1,4294948864,1
1,18428,18429,6,9217,10946,5184,7373,18428,339646468,38916,717338628,717357056,10946,4294959809,10946
1,18429,18430,5,9217,16130,5184,4608,18429,339664899,57347,1057077251,1057095680,16130,4294964993,16130
1,18430,18431,4,9217,2881,5184,6144,18430,339683330,10242,188790786,188809216,2881,4294951744,2881
1,18431,18432,3,9217,8065,5184,9216,18431,339701761,28673,528529409,528547840,8065,4294956928,8065
1,18432,0,2,9217,13249,5184,18432,18432,339720192,47104,868268032,868286464,13249,4294962112,13249
2,0,2,2,1,0,2303,0,0,0,0,0,0,0,4294948863,0
2,1,3,1,1,10368,2303,2,2,36862,36862,679477246,679477248,10368,4294959231,10368
2,2,4,0,1,2303,2303,1,4,73724,8188,150929404,150929408,2303,4294951166,2303
2,3,5,18432,1,12671,2303,6145,6,110586,45050,830406650,830406656,12671,4294961534,12671
2,4,6,18431,1,4606,2303,9217,8,147448,16376,301858808,301858816,4606,4294953469,4606
2,4095,4097,14340,1,5761,2303,8377,8190,150949890,20482,377544706,377552896,5761,4294954624,5761
2,4096,4098,14339,1,16129,2303,18424,8192,150986752,57344,1057021952,1057030144,16129,4294964992,16129
2,8191,8193,10244,1,3457,2303,11342,16382,301936642,12290,226541570,226557952,3457,4294952320,3457
2,8192,8194,10243,1,13825,2303,9212,16384,301973504,49152,906018816,906035200,13825,4294962688,13825
2,10237,10239,8198,1,2,2303,10368,20474,377356294,6,110598,131072,2,4294948865,2
2,18428,18430,7,1,3459,2303,14746,36856,679292936,12296,226652168,226689024,3459,4294952322,3459
