N,sigma_variant,tau,metric,B,block,status
768,fixed_width,1.075_pinned,A2_transport,1046961192,455,SENSITIVITY
768,fixed_width,1.075_pinned,euclidean_proxy_withdrawn,1046961192,463,WITHDRAWN_SENSITIVITY_ONLY
768,fixed_width,1.1_falcon_v1.2,A2_transport,1096223293,452,SENSITIVITY
768,fixed_width,1.1_falcon_v1.2,euclidean_proxy_withdrawn,1096223293,461,WITHDRAWN_SENSITIVITY_ONLY
768,fixed_width,1.2_legacy,A2_transport,1304596316,442,SENSITIVITY
768,fixed_width,1.2_legacy,euclidean_proxy_withdrawn,1304596316,450,WITHDRAWN_SENSITIVITY_ONLY
768,sqrtN_scaled,1.075_pinned,A2_transport,523480596,499,SENSITIVITY
768,sqrtN_scaled,1.075_pinned,euclidean_proxy_withdrawn,523480596,509,WITHDRAWN_SENSITIVITY_ONLY
768,sqrtN_scaled,1.1_falcon_v1.2,A2_transport,548111646,496,SENSITIVITY
768,sqrtN_scaled,1.1_falcon_v1.2,euclidean_proxy_withdrawn,548111646,506,WITHDRAWN_SENSITIVITY_ONLY
768,sqrtN_scaled,1.2_legacy,A2_transport,652298158,484,SENSITIVITY
768,sqrtN_scaled,1.2_legacy,euclidean_proxy_withdrawn,652298158,494,WITHDRAWN_SENSITIVITY_ONLY
1536,fixed_width,1.075_pinned,A2_transport,2093922385,1082,SENSITIVITY
1536,fixed_width,1.075_pinned,euclidean_proxy_withdrawn,2093922385,1099,WITHDRAWN_SENSITIVITY_ONLY
1536,fixed_width,1.1_falcon_v1.2,A2_transport,2192446586,1076,SENSITIVITY
1536,fixed_width,1.1_falcon_v1.2,euclidean_proxy_withdrawn,2192446586,1094,WITHDRAWN_SENSITIVITY_ONLY
1536,fixed_width,1.2_legacy,A2_transport,2609192632,1056,SENSITIVITY
1536,fixed_width,1.2_legacy,euclidean_proxy_withdrawn,2609192632,1073,WITHDRAWN_SENSITIVITY_ONLY
1536,sqrtN_scaled,1.075_pinned,A2_transport,2093922385,1082,SENSITIVITY
1536,sqrtN_scaled,1.075_pinned,euclidean_proxy_withdrawn,2093922385,1099,WITHDRAWN_SENSITIVITY_ONLY
1536,sqrtN_scaled,1.1_falcon_v1.2,A2_transport,2192446586,1076,SENSITIVITY
1536,sqrtN_scaled,1.1_falcon_v1.2,euclidean_proxy_withdrawn,2192446586,1094,WITHDRAWN_SENSITIVITY_ONLY
1536,sqrtN_scaled,1.2_legacy,A2_transport,2609192632,1056,SENSITIVITY
1536,sqrtN_scaled,1.2_legacy,euclidean_proxy_withdrawn,2609192632,1073,WITHDRAWN_SENSITIVITY_ONLY
3072,fixed_width,1.075_pinned,A2_transport,4187844771,2445,SENSITIVITY
3072,fixed_width,1.075_pinned,euclidean_proxy_withdrawn,4187844771,2480,WITHDRAWN_SENSITIVITY_ONLY
3072,fixed_width,1.1_falcon_v1.2,A2_transport,4384893173,2433,SENSITIVITY
3072,fixed_width,1.1_falcon_v1.2,euclidean_proxy_withdrawn,4384893173,2469,WITHDRAWN_SENSITIVITY_ONLY
3072,fixed_width,1.2_legacy,A2_transport,5218385264,2392,SENSITIVITY
3072,fixed_width,1.2_legacy,euclidean_proxy_withdrawn,5218385264,2426,WITHDRAWN_SENSITIVITY_ONLY
3072,sqrtN_scaled,1.075_pinned,A2_transport,8375689543,2284,SENSITIVITY
3072,sqrtN_scaled,1.075_pinned,euclidean_proxy_withdrawn,8375689543,2316,WITHDRAWN_SENSITIVITY_ONLY
3072,sqrtN_scaled,1.1_falcon_v1.2,A2_transport,8769786347,2274,SENSITIVITY
3072,sqrtN_scaled,1.1_falcon_v1.2,euclidean_proxy_withdrawn,8769786347,2306,WITHDRAWN_SENSITIVITY_ONLY
3072,sqrtN_scaled,1.2_legacy,A2_transport,10436770529,2237,SENSITIVITY
3072,sqrtN_scaled,1.2_legacy,euclidean_proxy_withdrawn,10436770529,2268,WITHDRAWN_SENSITIVITY_ONLY
