B,anchors_checked,attack,block,block_d4f,d,delta_estimator,delta_falcon,family,lambda_bdgl_0.265,lambda_enum_CN12,lambda_sieve_0.292,n,q,radius,scheme,sigma_fg,status,variant
,True,key_recovery,936,869,2048,1.0021479028199735512449381706771217642391E+0,1.0021410379060425854003983452995395084425E+0,falcon_reference,2.4804000000000000000000000000000000000000E+2,8.1299240546010908037379582333975589701727E+2,2.7331200000000000000000000000000000000000E+2,1024,12289,,Falcon-1024,2.8660196105754623743954150850445840314284E+0,FALCON_V1_2_EQ_2_3,official_v1.2
,True,forgery,952,884,2048,1.0021205916482046748510097886174067272907E+0,1.0021139370868630611624916165351788779237E+0,falcon_reference,2.5228000000000000000000000000000000000000E+2,8.3062132871985946493022911378201987881903E+2,2.7798400000000000000000000000000000000000E+2,1024,12289,8382,Falcon-1024,,FALCON_V1_2_PARAMETERS_PY_EQ_2_4_RADIUS_FLOOR,official_v1.2
,False,key_recovery,458,418,1024,1.0036223753854945989111158028530873851007E+0,1.0035970566848303627396995065431230333560E+0,falcon_reference,1.2137000000000000000000000000000000000000E+2,3.2712884664418123379028317096787285334110E+2,1.3373600000000000000000000000000000000000E+2,512,12289,,Falcon-512,4.0531638033030752407649666112489036161491E+0,FALCON_V1_2_EQ_2_3,official_v1.2
,False,forgery,411,374,1024,1.0039077926099250419407804838512823601476E+0,1.0038769804852830746705505732774801255929E+0,falcon_reference,1.0891500000000000000000000000000000000000E+2,2.8520336807803036977847283815712008379026E+2,1.2001200000000000000000000000000000000000E+2,512,12289,5833,Falcon-512,,FALCON_V1_2_PARAMETERS_PY_EQ_2_4_RADIUS_FLOOR,official_v1.2
,False,key_recovery,462,422,1536,1.0036002245562166018988955296445695510827E+0,1.0035753024174893841554210280498244087623E+0,FT,1.2243000000000000000000000000000000000000E+2,3.3134409499560821940364010086914173813382E+2,1.3490400000000000000000000000000000000000E+2,768,18433,,FT768,8.1649658092772603273242802490196379732198E-1,HEURISTIC_RAW_IID_TERNARY_EQ_2_3;ACCEPTED_KEY_CONDITIONING_OPEN,RAW_iid_ternary
1046961192,False,forgery,455,415,1536,1.0036391911267055959587908588653823202157E+0,1.0036135685854157561135802081218186261650E+0,FT,1.2057500000000000000000000000000000000000E+2,3.2499728459665602713320521453340410276081E+2,1.3286000000000000000000000000000000000000E+2,768,18433,3.2356779675981353753555157290392236841317E+4,FT768,7.6800000000000000000000000000000000000000E+2,ALTERNATIVE_PROPOSAL_V_A_fixed_width_A2_TRANSPORT_EQ_2_4_HEURISTIC,V_A_fixed_width
523480596,False,forgery,499,456,1536,1.0034088826014305096179257658098103391817E+0,1.0033872157072104244473128088236150402590E+0,FT,1.3223500000000000000000000000000000000000E+2,3.6535767556117476691308701452422812233706E+2,1.4570800000000000000000000000000000000000E+2,768,18433,2.2879698315318757716427922959661141315476E+4,FT768,5.4305800795126849873984847009652406217075E+2,ALTERNATIVE_PROPOSAL_V_B_sqrtN_scaled_A2_TRANSPORT_EQ_2_4_HEURISTIC,V_B_sqrtN_scaled
,False,key_recovery,1077,1002,3072,1.0019310457431930384632593299962079182992E+0,1.0019257411896546261892538041719530985821E+0,FT,2.8540500000000000000000000000000000000000E+2,9.7134381321064746021578959158989047965625E+2,3.1448400000000000000000000000000000000000E+2,1536,18433,,FT1536,8.1649658092772603273242802490196379732198E-1,HEURISTIC_RAW_IID_TERNARY_EQ_2_3;ACCEPTED_KEY_CONDITIONING_OPEN,RAW_iid_ternary
2093922385,False,forgery,1082,1007,3072,1.0019242377131339448368023743715516918724E+0,1.0019189781623242549995416658350719925353E+0,FT,2.8673000000000000000000000000000000000000E+2,9.7703406485576942444902230094236240512823E+2,3.1594400000000000000000000000000000000000E+2,1536,18433,4.5759396674344385416053676253122461964942E+4,FT1536,7.6800000000000000000000000000000000000000E+2,PINNED_BOUND_KERNEL_A2_TRANSPORT_EQ_2_4_HEURISTIC,PINNED
,False,key_recovery,2409,2269,6144,1.0010289338012077997216380710613385046881E+0,1.0010277361311917126305310041894532869215E+0,FT,6.3838500000000000000000000000000000000000E+2,2.6514845622911045286632141137517585173792E+3,7.0342800000000000000000000000000000000000E+2,3072,18433,,FT3072,8.1649658092772603273242802490196379732198E-1,HEURISTIC_RAW_IID_TERNARY_EQ_2_3;ACCEPTED_KEY_CONDITIONING_OPEN,RAW_iid_ternary
4187844771,False,forgery,2445,2303,6144,1.0010167977769465660262052200950637159327E+0,1.0010156326524199199493495995864637953088E+0,FT,6.4792500000000000000000000000000000000000E+2,2.7003345347800537527726579346508013777833E+3,7.1394000000000000000000000000000000000000E+2,3072,18433,6.4713559398320843714842707556045949479819E+4,FT3072,7.6800000000000000000000000000000000000000E+2,ALTERNATIVE_PROPOSAL_V_A_fixed_width_A2_TRANSPORT_EQ_2_4_HEURISTIC,V_A_fixed_width
8375689543,False,forgery,2284,2150,6144,1.0010736582465036542565772140880185969440E+0,1.0010723360355394549437854226279647957958E+0,FT,6.0526000000000000000000000000000000000000E+2,2.4830095064859668828395076016559211841553E+3,6.6692800000000000000000000000000000000000E+2,3072,18433,9.1518793381468923297980233184891728492031E+4,FT3072,1.0861160159025369974796969401930481243415E+3,ALTERNATIVE_PROPOSAL_V_B_sqrtN_scaled_A2_TRANSPORT_EQ_2_4_HEURISTIC,V_B_sqrtN_scaled
